sauna_temp,outside_temp,coffee_min,score
78.2,-6.8,76.7,1.0000
66.9,8.8,8.2,0.1861
86.4,-21.4,49.2,0.9703
72.9,-29.5,119.1,0.5900
86.8,-23.7,90.2,0.5756
70.3,0.2,20.2,0.4276
65.5,3.8,10.5,0.3032
66.7,-16.1,98.1,0.3718
61.4,-12.6,75.2,0.1943
81.1,-15.6,30.5,1.0000
80.9,-29.8,115.0,1.0000
79.3,-19.6,18.5,1.0000
94.8,9.5,8.5,0.1541
75.6,8.1,17.6,0.7757
68.0,-14.0,22.9,0.3943
92.1,-27.5,46.8,0.4778
80.7,-2.3,78.3,0.9531
99.2,-22.4,5.8,0.2091
73.1,-13.8,100.2,0.6847
63.8,-22.0,98.5,0.3218
83.8,-26.1,81.4,1.0000
81.8,1.4,22.3,0.9698
61.6,-15.8,58.1,0.1661
77.4,9.4,112.7,0.6490
88.3,-22.7,31.5,0.6524
68.4,1.8,104.0,0.2309
72.0,-22.3,25.4,0.8221
67.3,7.0,12.0,0.2060
89.5,-12.6,64.7,0.4399
73.9,-6.1,21.1,0.8283
82.2,-12.0,56.5,0.9939
84.9,-2.3,45.6,0.8339
79.1,-16.5,52.8,1.0000
61.1,-28.1,51.2,0.3247
83.2,-17.2,40.5,1.0000
99.1,2.7,102.1,0.0152
68.1,-20.6,32.6,0.5064
99.6,-23.7,29.2,0.2203
82.0,-12.7,54.2,1.0000
62.2,-4.8,80.0,0.0954
83.7,-19.0,34.6,1.0000
85.4,1.2,11.1,0.8269
86.8,-12.9,27.7,0.8773
93.5,5.6,73.0,0.2794
69.2,2.6,92.4,0.2711
86.4,-17.8,118.5,0.5954
61.3,-13.5,49.4,0.1931
92.5,4.7,102.4,0.1364
67.0,-4.2,106.4,0.1038
95.8,0.2,88.3,0.0000
64.8,-16.3,96.0,0.1866
83.2,-1.4,81.1,0.7622
80.2,-22.3,77.5,1.0000
80.2,5.9,83.9,0.9402
74.6,-8.4,62.0,0.8987
62.9,-7.8,117.4,0.0233
77.9,-11.8,65.1,1.0000
92.9,-10.5,44.6,0.2803
68.7,-26.8,94.6,0.2862
74.0,-23.1,97.3,0.6957
93.0,-24.9,97.3,0.3120
63.7,-13.5,54.6,0.3063
94.2,9.7,102.3,0.0788
97.4,-2.2,68.2,0.0087
70.0,-17.1,22.4,0.6472
95.5,-26.5,32.7,0.4004
63.5,-22.2,20.3,0.2155
81.7,-25.0,70.7,1.0000
81.5,-7.1,82.0,1.0000
73.4,-14.0,97.3,0.6818
75.9,-26.8,14.5,1.0000
70.3,-14.7,37.1,0.4941
85.1,-26.4,32.6,0.9565
80.1,0.6,38.9,0.8171
69.5,-8.0,113.3,0.2231
61.7,-17.8,88.2,0.2418
79.4,-10.8,20.3,1.0000
76.1,-24.1,68.5,1.0000
91.5,-4.4,29.2,0.4368
86.5,-20.5,42.9,0.7845
61.1,-5.9,7.6,0.1768
94.1,7.8,15.4,0.1524
70.8,-25.7,32.9,0.6322
66.5,-5.5,57.2,0.3584
96.1,-19.6,8.3,0.2383
99.9,-0.4,58.0,0.0839
99.4,-10.4,106.0,0.0000
68.3,-10.1,104.2,0.2211
85.5,-27.5,28.5,1.0000
63.8,-5.2,101.0,0.1795
75.1,3.2,102.8,0.5964
99.5,-15.4,57.1,0.1341
64.3,-25.0,82.0,0.3550
80.5,-27.1,108.3,1.0000
79.0,2.2,49.6,0.9959
74.1,-4.0,86.0,0.6014
79.4,-20.9,55.8,1.0000
99.5,-14.4,87.2,0.1139
95.5,-17.6,115.7,0.1471
94.0,-26.7,19.3,0.5902
79.5,-28.3,81.6,1.0000
73.7,-3.5,94.7,0.5848
77.7,-6.6,15.3,1.0000
89.8,-0.8,108.9,0.2387
97.2,-4.6,73.1,0.1350
68.4,-28.9,117.7,0.2645
91.9,-10.0,51.8,0.3144
72.3,-21.7,66.4,0.8327
74.1,-22.0,26.9,0.8829
70.1,-8.9,81.9,0.3514
84.7,-7.5,31.4,0.9682
70.5,-29.8,87.4,0.5209
63.3,0.1,101.1,0.0109
90.2,-18.8,68.6,0.5371
79.6,-4.9,103.2,0.8392
99.1,-7.6,31.9,0.1880
72.5,-3.7,67.3,0.7017
99.9,-3.4,56.9,0.3253
66.8,1.1,56.0,0.2185
60.6,-17.6,84.1,0.1997
62.0,-14.3,19.3,0.4169
87.9,-29.2,93.0,0.7171
70.1,-10.7,69.3,0.4740
99.1,-4.5,45.1,0.1774
95.2,-26.4,71.0,0.2794
69.0,-27.3,54.3,0.5786
94.2,2.7,5.3,0.2544
87.9,-16.6,78.2,0.6861
95.8,-27.5,24.1,0.4005
90.8,-3.4,48.8,0.3382
74.0,9.1,18.0,0.7252
81.2,-17.9,8.2,1.0000
95.1,-24.0,119.3,0.2110
78.9,-2.5,61.0,1.0000
74.2,-12.1,117.1,0.6725
99.2,6.6,71.1,0.0311
82.1,-26.1,43.7,1.0000
65.7,-14.1,25.5,0.3110
93.4,-21.7,41.5,0.4405
89.1,-14.3,60.4,0.7069
62.9,-13.2,93.5,0.0935
97.6,-10.4,49.4,0.1911
98.0,-5.2,63.3,0.2958
100.0,-2.7,14.8,0.0639
96.1,8.2,40.8,0.2814
78.1,-21.1,49.4,1.0000
80.1,-10.5,58.9,1.0000
62.4,-6.4,117.2,0.0000
97.3,-13.5,103.7,0.1121
80.2,-4.5,16.7,1.0000
77.0,-13.1,30.0,1.0000
93.6,1.4,116.9,0.0702
88.8,7.3,27.4,0.4505
97.3,-1.4,25.5,0.1512
70.2,-21.9,21.5,0.6937
93.1,-26.3,44.2,0.5228
87.0,-3.0,43.5,0.7509
65.4,-5.8,32.1,0.1232
99.0,0.5,9.0,0.0206
80.5,-23.4,62.1,1.0000
91.0,-10.6,56.2,0.4795
67.3,-29.2,84.2,0.4518
68.2,-20.6,30.7,0.5115
90.3,-29.3,117.3,0.4345
65.6,-14.2,77.5,0.1401
85.2,-10.4,88.8,0.9132
83.7,-8.4,28.9,1.0000
64.8,3.4,21.1,0.2835
70.7,-17.8,99.1,0.5605
70.0,-6.8,88.5,0.3083
95.2,-24.5,79.9,0.3559
71.3,6.0,37.1,0.3901
90.2,-18.0,84.7,0.4091
93.2,-10.2,104.6,0.2144
89.2,-19.2,88.4,0.4875
74.8,8.1,11.6,0.8651
83.1,-22.7,87.2,1.0000
72.4,-12.1,87.6,0.5724
68.5,-24.8,110.1,0.5212
68.0,-20.8,37.5,0.6615
95.6,2.2,5.8,0.1215
81.2,-29.1,19.4,1.0000
82.6,6.2,8.5,0.9337
60.0,3.9,21.8,0.0000
70.8,-15.1,29.6,0.7353
98.3,-25.7,111.8,0.1918
80.1,-28.5,49.1,1.0000
67.9,-17.1,99.6,0.3356
70.9,6.9,44.1,0.5001
96.1,-24.9,51.7,0.4633
64.5,-2.4,30.4,0.3068
85.0,-18.6,87.6,0.8746
71.1,8.2,16.0,0.4029
88.9,-22.2,78.9,0.6098
90.0,-25.7,119.2,0.3462
74.9,8.6,60.2,0.8667
69.2,1.8,40.9,0.2669
61.2,-15.6,26.2,0.2413
85.6,-25.1,63.9,1.0000
63.2,1.2,96.9,0.0740
